         ps   /test_ring_counter_6bit/button1  /test_ring_counter_6bit/led5           
                   /test_ring_counter_6bit/led1  /test_ring_counter_6bit/led6         
                     /test_ring_counter_6bit/led2                                     
                       /test_ring_counter_6bit/led3                                   
                         /test_ring_counter_6bit/led4                                 
       5640                                 1 1 0 0 0                     0 0 
       5650                                 0 1 0 0 0                     0 0 
       5660                                 1 0 1 0 0                     0 0 
       5670                                 0 0 1 0 0                     0 0 
       5680                                 1 0 0 1 0                     0 0 
       5690                                 0 0 0 1 0                     0 0 
       5700                                 1 0 0 0 1                     0 0 
       5710                                 0 0 0 0 1                     0 0 
       5720                                 1 0 0 0 0                     1 0 
       5730                                 0 0 0 0 0                     1 0 
       5740                                 1 0 0 0 0                     0 1 
       5750                                 0 0 0 0 0                     0 1 
       5760                                 1 1 0 0 0                     0 0 
       5770                                 0 1 0 0 0                     0 0 
       5780                                 1 0 1 0 0                     0 0 
       5790                                 0 0 1 0 0                     0 0 
       5800                                 1 0 0 1 0                     0 0 
       5810                                 0 0 0 1 0                     0 0 
       5820                                 1 0 0 0 1                     0 0 
       5830                                 0 0 0 0 1                     0 0 
       5840                                 1 0 0 0 0                     1 0 
       5850                                 0 0 0 0 0                     1 0 
       5860                                 1 0 0 0 0                     0 1 
       5870                                 0 0 0 0 0                     0 1 
       5880                                 1 1 0 0 0                     0 0 
       5890                                 0 1 0 0 0                     0 0 
       5900                                 1 0 1 0 0                     0 0 
       5910                                 0 0 1 0 0                     0 0 
       5920                                 1 0 0 1 0                     0 0 
       5930                                 0 0 0 1 0                     0 0 
       5940                                 1 0 0 0 1                     0 0 
       5950                                 0 0 0 0 1                     0 0 
       5960                                 1 0 0 0 0                     1 0 
       5970                                 0 0 0 0 0                     1 0 
       5980                                 1 0 0 0 0                     0 1 
       5990                                 0 0 0 0 0                     0 1 
       6000                                 1 1 0 0 0                     0 0 
       6010                                 0 1 0 0 0                     0 0 
       6020                                 1 0 1 0 0                     0 0 
       6030                                 0 0 1 0 0                     0 0 
       6040                                 1 0 0 1 0                     0 0 
       6050                                 0 0 0 1 0                     0 0 
       6060                                 1 0 0 0 1                     0 0 
       6070                                 0 0 0 0 1                     0 0 
       6080                                 1 0 0 0 0                     1 0 
       6090                                 0 0 0 0 0                     1 0 
