         ps   /test_shiftregistersipo_4bit/button1  /test_shiftregistersipo_4bit/out4        
                    /test_shiftregistersipo_4bit/in1                                         
                     /test_shiftregistersipo_4bit/out1                                       
                       /test_shiftregistersipo_4bit/out2                                     
                         /test_shiftregistersipo_4bit/out3                                   
     900000                                      0 1 1 0 0                          1 
     900210                                      0 0 1 0 0                          1 
     905000                                      1 0 0 1 0                          0 
     905823                                      1 1 0 1 0                          0 
     910000                                      0 1 0 1 0                          0 
     911436                                      0 0 0 1 0                          0 
     915000                                      1 0 0 0 1                          0 
     919348                                      1 1 0 0 1                          0 
     920000                                      0 1 0 0 1                          0 
     925000                                      1 1 1 0 0                          1 
     927260                                      1 0 1 0 0                          1 
     930000                                      0 0 1 0 0                          1 
     935000                                      1 0 0 1 0                          0 
     935172                                      1 1 0 1 0                          0 
     940000                                      0 1 0 1 0                          0 
     943084                                      0 0 0 1 0                          0 
     945000                                      1 0 0 0 1                          0 
     945773                                      1 1 0 0 1                          0 
     948462                                      1 0 0 0 1                          0 
     950000                                      0 0 0 0 1                          0 
     951151                                      0 1 0 0 1                          0 
     953840                                      0 0 0 0 1                          0 
     955000                                      1 0 0 0 0                          1 
     957183                                      1 1 0 0 0                          1 
     960000                                      0 1 0 0 0                          1 
     960526                                      0 0 0 0 0                          1 
     963869                                      0 1 0 0 0                          1 
     965000                                      1 1 1 0 0                          0 
     967212                                      1 0 1 0 0                          0 
     969991                                      1 1 1 0 0                          0 
     970000                                      0 1 1 0 0                          0 
     972770                                      0 0 1 0 0                          0 
     975000                                      1 0 0 1 0                          0 
     975549                                      1 1 0 1 0                          0 
     978328                                      1 0 0 1 0                          0 
     980000                                      0 0 0 1 0                          0 
     985000                                      1 0 0 0 1                          0 
     986213                                      1 1 0 0 1                          0 
     990000                                      0 1 0 0 1                          0 
     994098                                      0 0 0 0 1                          0 
     995000                                      1 0 0 0 0                          1 
    1000000                                      0 0 0 0 0                          1 
    1001983                                      0 1 0 0 0                          1 
    1005000                                      1 1 1 0 0                          0 
    1009868                                      1 0 1 0 0                          0 
    1010000                                      0 0 1 0 0                          0 
    1015000                                      1 0 0 1 0                          0 
    1016785                                      1 1 0 1 0                          0 
    1020000                                      0 1 0 1 0                          0 
    1023702                                      0 0 0 1 0                          0 
    1025000                                      1 0 0 0 1                          0 
    1030000                                      0 0 0 0 1                          0 
    1030619                                      0 1 0 0 1                          0 
    1035000                                      1 1 1 0 0                          1 
    1037536                                      1 0 1 0 0                          1 
    1040000                                      0 0 1 0 0                          1 
    1044906                                      0 1 1 0 0                          1 
    1045000                                      1 1 1 1 0                          0 
    1050000                                      0 1 1 1 0                          0 
    1052276                                      0 0 1 1 0                          0 
    1055000                                      1 0 0 1 1                          0 
    1059646                                      1 1 0 1 1                          0 
    1060000                                      0 1 0 1 1                          0 
    1065000                                      1 1 1 0 1                          1 
    1067016                                      1 0 1 0 1                          1 
    1069493                                      1 1 1 0 1                          1 
    1070000                                      0 1 1 0 1                          1 
    1071970                                      0 0 1 0 1                          1 
    1074447                                      0 1 1 0 1                          1 
    1075000                                      1 1 1 1 0                          1 
    1076924                                      1 0 1 1 0                          1 
    1080000                                      0 0 1 1 0                          1 
    1081426                                      0 1 1 1 0                          1 
    1085000                                      1 1 1 1 1                          0 
    1085928                                      1 0 1 1 1                          0 
    1090000                                      0 0 1 1 1                          0 
    1090430                                      0 1 1 1 1                          0 
    1094932                                      0 0 1 1 1                          0 
    1095000                                      1 0 0 1 1                          1 
    1098565                                      1 1 0 1 1                          1 
    1100000                                      0 1 0 1 1                          1 
    1102198                                      0 0 0 1 1                          1 
    1105000                                      1 0 0 0 1                          1 
    1105831                                      1 1 0 0 1                          1 
    1109464                                      1 0 0 0 1                          1 
    1110000                                      0 0 0 0 1                          1 
    1113154                                      0 1 0 0 1                          1 
    1115000                                      1 1 1 0 0                          1 
