         ps   /test_counter_3bit_asydown/button1            
                   /test_counter_3bit_asydown/led1          
                     /test_counter_3bit_asydown/led2        
                       /test_counter_3bit_asydown/led3      
       1478                                    1 1 0 1 
       1479                                    0 1 0 1 
       1481                                    1 0 0 1 
       1483                                    0 0 0 1 
       1484                                    1 1 1 0 
       1485                                    0 1 1 0 
       1486                                    1 0 1 0 
       1489                                    0 0 1 0 
       1490                                    1 1 0 0 
       1491                                    0 1 0 0 
       1492                                    1 0 0 0 
       1493                                    0 0 0 0 
       1494                                    1 1 1 1 
       1495                                    0 1 1 1 
       1496                                    1 0 1 1 
       1499                                    0 0 1 1 
       1500                                    1 1 0 1 
       1503                                    0 1 0 1 
       1504                                    1 0 0 1 
       1505                                    0 0 0 1 
       1507                                    1 1 1 0 
       1512                                    0 1 1 0 
       1518                                    1 0 1 0 
       1521                                    0 0 1 0 
       1522                                    1 1 0 0 
       1523                                    0 1 0 0 
       1524                                    1 0 0 0 
       1525                                    0 0 0 0 
       1527                                    1 1 1 1 
       1530                                    0 1 1 1 
       1531                                    1 0 1 1 
       1532                                    0 0 1 1 
       1534                                    1 1 0 1 
       1535                                    0 1 0 1 
       1536                                    1 0 0 1 
       1537                                    0 0 0 1 
       1538                                    1 1 1 0 
       1540                                    0 1 1 0 
       1543                                    1 0 1 0 
       1545                                    0 0 1 0 
       1547                                    1 1 0 0 
       1548                                    0 1 0 0 
       1552                                    1 0 0 0 
       1553                                    0 0 0 0 
       1555                                    1 1 1 1 
       1556                                    0 1 1 1 
       1559                                    1 0 1 1 
       1561                                    0 0 1 1 
       1564                                    1 1 0 1 
       1565                                    0 1 0 1 
       1566                                    1 0 0 1 
       1567                                    0 0 0 1 
       1571                                    1 1 1 0 
       1572                                    0 1 1 0 
       1573                                    1 0 1 0 
       1575                                    0 0 1 0 
       1576                                    1 1 0 0 
       1578                                    0 1 0 0 
       1579                                    1 0 0 0 
       1583                                    0 0 0 0 
       1586                                    1 1 1 1 
       1587                                    0 1 1 1 
       1591                                    1 0 1 1 
       1593                                    0 0 1 1 
       1594                                    1 1 0 1 
       1595                                    0 1 0 1 
       1596                                    1 0 0 1 
       1597                                    0 0 0 1 
       1599                                    1 1 1 0 
       1602                                    0 1 1 0 
       1605                                    1 0 1 0 
       1606                                    0 0 1 0 
       1610                                    1 1 0 0 
       1611                                    0 1 0 0 
